Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Actual Count,Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Achnanthidium minutissimum,BACILLARIOPHYTA,1/11/2017,6.0,2,6,85.55830,3763.04730,43.98226
Achnanthidium sp.,BACILLARIOPHYTA,1/11/2017,6.0,2,4,57.03887,2687.89093,47.12385
Amphora sp.,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,556.15717,39.00198
Aulacoseira granulata,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,10034.79281,703.71616
Aulacoseira sp.,BACILLARIOPHYTA,1/11/2017,6.0,2,24,342.23319,430062.54880,1256.63600
Cocconeis placentula,BACILLARIOPHYTA,1/11/2017,6.0,2,18,256.67489,89506.76797,348.71649
Diatoma moniliformis,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,4031.83640,282.74310
Encyonema sp.,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,1212.24684,85.01199
Epithemia sorex,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,5286.28854,370.71485
Fragilaria sp.,BACILLARIOPHYTA,1/11/2017,6.0,2,3,42.77915,2419.10184,56.54862
Humidophila contenta,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,725.73055,50.89376
Melosira varians,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,77680.04788,5447.51706
Navicula spp.,BACILLARIOPHYTA,1/11/2017,6.0,2,2,28.51943,10523.09299,368.97975
Nitzschia dissipata,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,3208.43617,225.00000
Nitzschia fonticola,BACILLARIOPHYTA,1/11/2017,6.0,2,4,57.03887,10694.78723,187.50000
Nitzschia inconspicua,BACILLARIOPHYTA,1/11/2017,6.0,2,3,42.77915,958.25294,22.40000
Nitzschia spp.,BACILLARIOPHYTA,1/11/2017,6.0,2,7,99.81801,9782.16539,98.00000
Planothidium frequentissimum,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,2687.89093,188.49540
Rhoicosphenia sp.,BACILLARIOPHYTA,1/11/2017,6.0,2,2,28.51943,5837.43471,204.68271
Synedra sp.,BACILLARIOPHYTA,1/11/2017,6.0,2,1,24.21267,8215.15797,339.29172
Thalassiosira spp.,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,7797.12361,546.79374
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,6.0,2,2,28.51943,2419.10184,84.82293
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,2799.88639,196.34938
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,6.0,2,1,14.25972,9071.63189,636.17198
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,6.0,2,1,24.21267,141179.01110,5830.79104
Ankistrodesmus arcuatus,CHLOROPHYTA,1/11/2017,6.0,2,1,14.25972,507.71273,35.60469
Monoraphidium griffithii,CHLOROPHYTA,1/11/2017,6.0,2,1,1.33335,150.79782,113.09724
Cryptomonas spp.,CRYPTOPHYTA,1/11/2017,6.0,2,2,28.51943,31358.72752,1099.55650
Plagioselmis lacustris,CRYPTOPHYTA,1/11/2017,6.0,2,1,14.25972,11987.24691,840.63712
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/11/2017,6.0,2,1,14.25972,5151.79095,361.28285
Plagioselmis prolonga,CRYPTOPHYTA,1/11/2017,6.0,2,6,85.55830,10978.78010,128.31929
Eucapsis microscopica,CYANOPHYCEAE,1/11/2017,6.0,2,285,406401.91490,108949.17900,0.26808
Planktolyngbya sp.,CYANOPHYCEAE,1/11/2017,6.0,2,17,242.41518,243.70211,1.00531
Planktothrix sp.,CYANOPHYCEAE,1/11/2017,6.0,2,284,4049.75943,69822.08834,17.24105
Achnanthidium minutissimum,BACILLARIOPHYTA,1/11/2017,13.0,2,2,28.51943,1747.12911,61.26101
Amphora sp.,BACILLARIOPHYTA,1/11/2017,13.0,2,3,42.77915,4492.44416,105.01481
Aulacoseira alpigena,BACILLARIOPHYTA,1/11/2017,13.0,2,4,57.03887,12901.87646,226.19448
Aulacoseira ambigua,BACILLARIOPHYTA,1/11/2017,13.0,2,2,28.51943,49278.00039,1727.87450
Aulacoseira granulata,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,13618.64738,955.04336
Aulacoseira sp.,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,2589.33493,181.58390
Chaetoceros sp.,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,2687.89093,188.49540
Cocconeis placentula,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,4703.80913,329.86695
Craticula buderi,BACILLARIOPHYTA,1/11/2017,13.0,2,2,28.51943,13977.03284,490.08804
Craticula vixnegligenda,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,4435.02004,311.01741
Cyclotella sp.,BACILLARIOPHYTA,1/11/2017,13.0,2,11,156.85688,13305.06010,84.82293
Cyclotella sp.,BACILLARIOPHYTA,1/11/2017,13.0,2,5,71.29858,47318.07992,663.66089
Encyonema sp.,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,1711.40730,120.01692
Entomoneis sp.,BACILLARIOPHYTA,1/11/2017,13.0,2,2,28.51943,76873.68060,2695.48422
Navicula spp.,BACILLARIOPHYTA,1/11/2017,13.0,2,2,28.51943,17740.08014,622.03482
Nitzschia dissipata,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,1925.06170,135.00000
Nitzschia inconspicua,BACILLARIOPHYTA,1/11/2017,13.0,2,3,42.77915,1283.37447,30.00000
Nitzschia spp.,BACILLARIOPHYTA,1/11/2017,13.0,2,6,85.55830,4363.47319,51.00000
Planothidium sp.,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,851.16546,59.69021
Reimeria sp.,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,940.76183,65.97339
Thalassiosira spp.,BACILLARIOPHYTA,1/11/2017,13.0,2,1,14.25972,6775.72505,475.16549
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,13.0,2,10,142.59716,36286.52756,254.46879
Ankistrodesmus arcuatus,CHLOROPHYTA,1/11/2017,13.0,2,2,28.51943,253.85637,8.90117
Monoraphidium sp.,CHLOROPHYTA,1/11/2017,13.0,2,1,14.25972,261.32273,18.32594
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/11/2017,13.0,2,4,57.03887,16933.71286,296.88026
Plagioselmis prolonga,CRYPTOPHYTA,1/11/2017,13.0,2,3,42.77915,7884.48006,184.30661
Teleaulax sp.,CRYPTOPHYTA,1/11/2017,13.0,2,7,99.81801,80819.28050,809.66628
Eucapsis microscopica,CYANOPHYCEAE,1/11/2017,13.0,2,482,687318.32620,184257.90980,0.26808
