CAS #,Field #,Locality,County,Sex,Year,SL,CBL,PL,MSW,MW,ML,MFL,MA,RPL,SSI,RMW,CBL/SL
MAM 26225,RB 4405,Point Reyes National Seashore,Marin,Male,1998,211,292.16,122.32,162.82,147.3,203.18,81.52,0.4,0.42,0.56,0.5,1.38
MAM 25929,RB 2897,Ano Nuevo Point,San Mateo,Male,1980,244,283.54,114.72,157.52,144.68,197.86,78.58,0.4,0.4,0.56,0.51,1.16
MAM 34681,RB 3898,"Pacifica, Linda Mar, San Pedro Valley Beach",San Mateo,Male,1995,239,296.12,127.84,163.44,148.54,208.54,67.86,0.33,0.43,0.55,0.5,1.24
MAM 34734,RB 5597,"Daly City, Thornton Beach",San Mateo,Male,2005,228,290.42,131.52,153.64,143.12,200.48,67.32,0.34,0.45,0.53,0.49,1.27
MAM 34735,RB 5663,"Daly City, north end of Thornton Beach.",San Mateo,Male,2005,239,277.62,120.14,158.92,139.44,195.44,66.78,0.34,0.43,0.57,0.5,1.16
MAM 26031,RB 3693,"San Francisco, Ocean Beach",San Francisco,Male,1992,249,293.54,124.24,163.48,157.72,208.18,71.06,0.34,0.42,0.56,0.54,1.18
MAM 34671,RB 3721,Tennessee Valley.,Marin,Male,1992,243,286.34,NA,163.84,142.08,203.64,70.72,0.35,NA,0.57,0.5,1.18
MAM 26222,RB 4244,Ano Nuevo Point,San Mateo,Male,1998,222,276.34,119.98,157.46,139.64,196.32,63.82,0.33,0.43,0.57,0.51,1.24
MAM 25788,RB 2827,Ano Nuevo Island,San Mateo,Male,1980,226,283.52,114.18,152.04,141.18,195.82,75.32,0.38,0.4,0.54,0.5,NA
MAM 26051,RB 3618,Ano Nuevo Point,San Mateo,Male,1991,226,281.18,109.92,160.32,150.42,197.86,63.12,0.32,0.39,0.57,0.53,1.24
MAM 26003,RB 3882,Ano Nuevo Island,San Mateo,Male,1995,240,279.98,110.02,161.92,147.96,201.12,69.54,0.35,0.39,0.58,0.53,1.17
MAM 27540,RB 5295,"Pacifica, Sharp Park Beach",San Mateo,Male,2004,226,279.62,126.94,157.22,142.04,192.62,62.72,0.33,0.45,0.56,0.51,1.24
MAM 34736,RB 5709,"Doran Beach, Bodega Bay",Sonoma,Male,2006,244,296.92,131.64,159.42,147.72,210.82,78.92,0.37,0.44,0.54,0.5,1.22
MAM 34762,RB 5939,"Hercules, San Pablo Bay Regional Shoreline",Contra Costa,Male,2008,239,297.52,128.72,165.1,149.36,207.82,77.56,0.37,0.43,0.55,0.5,1.24
MAM 26145,RB 2574,Ano Nuevo Point,San Mateo,Male,1977,221,274.96,110.94,157.04,139.88,191.38,62.72,0.33,0.4,0.57,0.51,NA
MAM 33062,RB 933,Ano Nuevo Point,San Mateo,Male,1966,221,277.04,NA,151.08,NA,191.78,65.42,0.34,NA,0.55,NA,NA
MAM 26696,RB 3609,Olympic Country Club Beach,San Mateo,Male,1991,266,279.96,120.46,158.7,145.57,194,72.98,0.38,0.43,0.57,0.52,1.05
MAM 26691,RB 3455,Ano Nuevo Island,San Mateo,Male,1988,231,287.64,125.73,172.91,143.84,202.19,68.91,0.34,0.44,0.6,0.5,1.25
MAM 26694,RB 2647,Waddell Beach,Santa Cruz,Male,1978,240,283.27,111.32,162.81,147.38,199.13,66.85,0.34,0.39,0.57,0.52,NA
MAM 26692,RB 3830,"Bodega Bay, Pinnacle Rock Beach",Sonoma,Male,1994,241,291.28,124.49,161.11,150.91,207.39,73.52,0.35,0.43,0.55,0.52,1.21
MAM 26695,RB 2790,Ano Nuevo Point,San Mateo,Male,1980,249,289.49,114.14,159.75,141.14,194.38,68.14,0.35,0.39,0.55,0.49,NA
MAM 26702,RB 1899,Ano Nuevo Creek Beach,San Mateo,Male,1971,229,282.5,120.14,159.11,142.8,199.13,61.21,0.31,0.43,0.56,0.51,NA
MAM 26698,RB 2217,Ano Nuevo Point,San Mateo,Male,1974,244,279.73,117.12,150.77,129.77,195.85,67.78,0.35,0.42,0.54,0.46,NA
MAM 26700,RB 2976,Ano Nuevo Point,San Mateo,Male,1981,NA,283.94,120.8,163.86,148.3,206.93,69.62,0.34,0.43,0.58,0.52,NA
MAM 26705,RB 4397,Ano Nuevo Point,San Mateo,Male,1998,222,287.47,119.4,144.89,140.18,200.83,62.53,0.31,0.42,0.5,0.49,1.29
